zlevel,well_name,image_name,keypoint_likelihood_1,keypoint_likelihood_2,1_excluded_pixels,1_mean,1_min,1_max,1_std,1_area (pixel^2),1_mean_out,1_min_out,1_max_out,1_std_out,1_area_out (pixel^2),number_objects,biggestobject_1_mean,biggestobject_1_min,biggestobject_1_max,biggestobject_1_std,biggestobject_1_area,biggestobject_1_mean_out,biggestobject_1_min_out,biggestobject_1_max_out,biggestobject_1_std_out,biggestobject_1_area_out,num_droplets,droplet_area_mean,droplet_area_total,droplet_intensity_mean,droplet_intensity_total,droplet_intensity_min,droplet_intensity_max,droplet_area_std,droplet_intensity_std,daphnia_area,daphnia_size
MIP,E04,2026-04-03-TBT-CL-mothers_E04_w1,0.2708677649497986,1.1452953815460205,0,968.639320463094,264,37132,1158.6266897611079,681935,300.23843102727176,0,10452,64.22705302325346,14778689,5,972.7661292109519,275,37132,1161.8663332433043,676955,300.2746177555788,0,10452,64.2556779442319,14783669,60,171.36666666666667,10282,6526.611158951732,391596.6695371039,1204.8966346153845,19631.076335877864,178.44250526042225,5308.028932227729,681935,1512.7570855890908
MIP,E05,2026-04-03-TBT-CL-mothers_E05_w1,0.19228143990039825,1.2123219966888428,0,761.3056318501291,248,45097,1087.5463229852683,1411561,293.8466108380324,0,10355,40.478975928194096,14049063,1,761.3056318501291,248,45097,1087.5463229852683,1411561,293.8466108380324,0,10355,40.478975928194096,14049063,327,86.44648318042813,28268,4781.143651571207,1563433.9740637846,1112.0631578947368,21845.82894736842,59.38976005640393,3058.7573796879,1411561,546.3231644365815
MIP,F02,2026-04-03-TBT-CL-mothers_F02_w1,0.0668809786438942,0.9792402386665344,0,601.1598389982883,260,47561,603.8334943417002,1158497,299.5265909748949,0,2814,29.753670510490473,14302127,1,601.1598389982883,260,47561,603.8334943417002,1158497,299.5265909748949,0,2814,29.753670510490473,14302127,93,182.96774193548387,17016,4286.932369753936,398684.710387116,651.3285917496444,17812.123456790123,578.2243142965874,3829.4619146493346,1158497,1032.619968817183
MIP,F03,2026-04-03-TBT-CL-mothers_F03_w1,0.545242190361023,0.9860717058181763,0,675.1377169217363,264,39158,865.0614441016983,1303696,298.95294791355866,0,2780,41.194050274479665,14156928,1,675.1377169217363,264,39158,865.0614441016983,1303696,298.95294791355866,0,2780,41.194050274479665,14156928,335,78.40298507462687,26265,3886.885348989218,1302106.591911388,667.0769230769231,19044.41121495327,52.30651821092736,2656.0249725534786,1303696,1483.0306807345557
MIP,F04,2026-04-03-TBT-CL-mothers_F04_w1,0.4792177081108093,0.9157195687294006,0,700.4208565219569,261,58859,757.0016913932261,1257621,295.7172331794903,0,2720,33.04453320161556,14203003,2,706.9301662734742,261,58859,761.9609782997101,1236036,295.7657257278735,0,2720,33.05020986229971,14224588,87,125.4367816091954,10913,4839.297701662697,421018.90004465467,701.6428571428571,19955.51879699248,71.36472015320156,3666.763961072549,1257621,1474.3052601140648
MIP,F05,2026-04-03-TBT-CL-mothers_F05_w1,0.8305268883705139,1.0468899011611938,0,612.2665166976182,247,34338,596.9820548451981,1388731,290.9552813541149,0,2720,33.71834745995401,14071893,1,612.2665166976182,247,34338,596.9820548451981,1388731,290.9552813541149,0,2720,33.71834745995401,14071893,61,142.9672131147541,8721,4609.932898645969,281205.9068174041,466.89592760180994,17653.71508379888,225.97661879149612,3804.490141568362,1388731,1537.250792811635
MIP,F06,2026-04-03-TBT-CL-mothers_F06_w1,0.9161368608474731,0.8875988125801086,0,604.0301404425234,259,41335,586.0884403684452,1271481,291.06456845209044,0,3942,32.75885207986039,14189143,1,604.0301404425234,259,41335,586.0884403684452,1271481,291.06456845209044,0,3942,32.75885207986039,14189143,90,334,30060,4616.821436408833,415513.92927679495,438.1747602177482,16706.546153846153,2431.9465731860682,3589.6136718354774,1271481,1491.134467444167
MIP,G02,2026-04-03-TBT-CL-mothers_G02_w1,0.8920040130615234,0.9125497937202454,0,340.4848797817568,241,4823,86.38111225858859,715532,295.92195206377824,0,3772,34.370723560790964,14745092,1,340.4848797817568,241,4823,86.38111225858859,715532,295.92195206377824,0,3772,34.370723560790964,14745092,0,0,0,0,0,0,0,0,0,715532,1073.564623113113
MIP,G03,2026-04-03-TBT-CL-mothers_G03_w1,0.3717356324195862,1.039337396621704,0,352.76452662706185,253,3792,54.68378581708607,753444,295.5648398265337,0,2780,34.087838515369235,14707180,4,352.8339965791182,253,3792,54.726101983635324,750099,295.57430404421325,0,2780,34.0954365722659,14710525,1,81,81,553.6666666666666,553.6666666666666,553.6666666666666,553.6666666666666,NaN,NaN,753444,1154.991341958891
MIP,G04,2026-04-03-TBT-CL-mothers_G04_w1,0.052010949701070786,0.9641827940940857,0,557.492137282354,244,26998,375.58533341929234,904967,293.4963141134749,0,3698,31.143011283644878,14555657,3,557.7280897360172,244,26998,375.69533696609824,904074,293.4978549862433,0,3698,31.14294983980951,14556550,42,687.8809523809524,28891,3089.0559543240215,129740.3500816089,443.9382369918364,8700.76582278481,2537.2281130550955,1816.4661802618182,904967,263.8825496314601
