zlevel,well_name,image_name,keypoint_likelihood_1,keypoint_likelihood_2,1_excluded_pixels,1_mean,1_min,1_max,1_std,1_area (pixel^2),1_mean_out,1_min_out,1_max_out,1_std_out,1_area_out (pixel^2),number_objects,biggestobject_1_mean,biggestobject_1_min,biggestobject_1_max,biggestobject_1_std,biggestobject_1_area,biggestobject_1_mean_out,biggestobject_1_min_out,biggestobject_1_max_out,biggestobject_1_std_out,biggestobject_1_area_out,num_droplets,droplet_area_mean,droplet_area_total,droplet_intensity_mean,droplet_intensity_total,droplet_intensity_min,droplet_intensity_max,droplet_area_std,droplet_intensity_std,daphnia_area,daphnia_size
MIP,G02,2026-01-29-Food-NoFood II_G02_w1,0.9159107208251953,0.7691024541854858,0,193.44638684020686,142,4717,17.066860380717298,1481847,218.45990916408613,0,2106,90.45413111623272,13658034,1,193.44638684020686,142,4717,17.066860380717298,1481847,218.45990916408613,0,2106,90.45413111623272,13658034,0,0,0,0,0,0,0,0,0,1481847,1587.2331271744551
MIP,H03,2026-01-29-Food-NoFood II_H03_w1,0.41687634587287903,0.9456860423088074,0,771.5101475521911,160,40282,1982.870547877736,1104355,219.75335024850511,0,2409,104.2399632490597,14035526,2,793.0353535644086,160,40282,2038.1142276317732,1042950,220.56422976036416,0,2409,105.09277492299685,14096931,329,175.4224924012158,57714,3164.206082042668,1041023.8009920379,406.6272401433692,31016.99066511085,282.7910128196684,3583.491534014044,1104355,1489.902345793173
MIP,H04,2026-01-29-Food-NoFood II_H04_w1,0.7621778249740601,1.104475975036621,0,491.51101600963966,149,6414,486.6606221265331,1245687,223.29470180134234,0,3658,119.47982771227315,13894194,2,491.5510266677479,149,6414,486.700507434611,1245437,223.29594138491615,0,3658,119.47938845064263,13894444,107,478.196261682243,51167,1035.7868029420358,110829.18791479783,419.5699917332598,4269.766253869969,1628.283327063641,808.296447813709,1245687,1489.3226648379457
MIP,H05,2026-01-29-Food-NoFood II_H05_w1,0.5572350025177002,0.915365993976593,0,1310.8419435307412,153,47786,3515.1746004295765,1044285,223.25268367509966,0,2977,119.5757339454643,14095596,4,1331.9030469833099,160,47786,3544.7323552300613,1024981,223.21071328879412,0,2977,119.5129201800945,14114900,441,163.82766439909298,72248,5102.762592015422,2250318.3030788014,597.2631578947369,31432.50205338809,309.61125516339155,4449.327894754113,1044285,1441.998613036781
MIP,H06,2026-01-29-Food-NoFood II_H06_w1,0.9508436918258667,1.1982438564300537,0,968.8933767943599,150,37332,2404.3718571143468,941840,222.43010588573452,0,2219,113.00658305571753,14198041,1,968.8933767943599,150,37332,2404.3718571143468,941840,222.43010588573452,0,2219,113.00658305571753,14198041,258,180.02325581395348,46446,4563.655295261719,1177423.0661775237,556.1666666666666,27717.685534591194,350.1255686949325,3937.5545134375516,941840,1423.5308215841342
MIP,H07,2026-01-29-Food-NoFood II_H07_w1,0.953479528427124,1.2176496982574463,0,526.5063074107254,152,9304,515.1458525442641,1166485,219.1107948275423,0,2439,104.45769616691003,13973396,2,526.7038324955826,152,9304,515.2263066945267,1165820,219.108944207414,0,2439,104.45557002415792,13974061,150,101.98666666666666,15298,1730.6668669839778,259600.03004759667,486.4756888168558,5530.636363636364,236.49487378035232,952.0874386614388,1166485,1346.3803325955114
MIP,H08,2026-01-29-Food-NoFood II_H08_w1,0.8060089349746704,1.0263158082962036,0,472.2074500843813,149,7560,414.032983837643,1125249,217.92869680773637,138,2483,95.56671747390492,14014632,1,472.2074500843813,149,7560,414.032983837643,1125249,217.92869680773637,138,2483,95.56671747390492,14014632,109,92.58715596330275,10092,1698.4109996638144,185126.79896335577,475.67692307692306,5100,117.78969103866734,946.4624854134845,1125249,1416.8479099748145
MIP,H09,2026-01-29-Food-NoFood II_H09_w1,0.755116879940033,0.9579223990440369,0,1119.4307258530025,152,43664,3016.049829561616,945894,215.02827063319137,0,2198,90.87185053227935,14193987,2,1119.853858772736,152,43664,3016.6615779108,945469,215.027165408472,0,2198,90.87072659009134,14194412,267,197.29588014981275,52678,5416.842748091309,1446297.0137403794,620.7714285714286,28831.44974226804,365.76433323133904,4555.607619439667,945894,1360.7810257348535
MIP,H10,2026-01-29-Food-NoFood II_H10_w1,0.9378879070281982,1.1318825483322144,0,616.3218003163964,148,15162,747.1546704453818,1266133,217.46713267388162,0,2676,101.11652680730774,13873748,3,618.8239604878963,151,15162,748.5436522748371,1258956,217.44641866446221,0,2676,101.09466010390251,13880925,259,64.84942084942085,16796,2127.4516327341,551009.9728781319,509.2758620689655,6770.969387755102,37.71399548032058,1109.355447091855,1266133,1490.4324875686252
MIP,I02,2026-01-29-Food-NoFood II_I02_w1,0.9238996505737305,1.0597602128982544,0,381.3785642112527,146,9082,263.37735969226895,1623080,219.0575752354422,0,2400,91.97852419562146,13516801,6,378.5540826471073,146,9082,264.0572188216275,1560103,220.1348366666966,0,2400,94.48159834025127,13579778,79,503.65822784810126,39789,977.7060418569911,77238.7773067023,419.1746031746032,3259.3023255813955,1755.3459801131464,539.2774377316447,1623080,1660.959963394663
