area,radius,circularity,intensity_mean,x,y
146.0,6.817128675830715,0.9824937480221234,980.4041095890411,1208.027397260274,1266.1780821917807
111.0,5.944106103225343,1.00725336870443,1005.5855855855856,1247.5045045045044,1274.7657657657658
167.0,7.2909362219603215,0.9652584670035654,1475.748502994012,1234.5808383233532,1279.556886227545
130.0,6.432750982580687,1.0016542843214846,688.8384615384615,1180.7769230769231,1281.6076923076923
153.0,6.978639737521917,0.9759627091272784,1903.3333333333333,1261.6993464052287,1289.954248366013
132.0,6.4820448144285745,1.0170643502341232,1015.780303030303,1183.3560606060605,1300.2272727272727
163.0,7.203090409536582,0.9765301792254112,1893.6932515337423,1278.1042944785277,1304.159509202454
136.0,6.579524642479541,0.8908828184805876,3109.4926470588234,1290.9485294117646,1310.1176470588234
81.0,5.077706251929807,1.0780241689052945,2694.6666666666665,1306.7283950617284,1314.2716049382716
35.0,3.3377905890622728,1.1106924012725319,3603.7714285714287,1310.3142857142857,1321.3428571428572
37.0,3.431831258788849,1.1741605384881055,1343.3243243243244,1299.1351351351352,1324.1081081081081
19.0,2.4592453796829674,1.2801537005750372,1245.3684210526317,1326.0,1325.0
76.0,4.918490759365935,1.1114295174621256,3845.6315789473683,1314.921052631579,1332.592105263158
72.0,4.787307364817192,1.0529332270693823,904.3472222222222,1373.8194444444443,1336.875
57.0,4.259537945889915,1.0678300287980815,1552.8947368421052,1359.3684210526317,1340.7368421052631
130.0,6.432750982580687,1.0313572297530653,3189.023076923077,1345.0076923076922,1345.2692307692307
55.0,4.1841419359420025,1.0786014609507297,2184.7090909090907,1367.7272727272727,1349.9818181818182
111.0,5.944106103225343,1.0018345706293195,3781.6216216216217,1376.009009009009,1357.5585585585586
230.0,8.556358677747903,0.9599903478846974,4556.860869565217,1339.5782608695652,1361.1869565217391
64.0,4.51351666838205,1.033230351753074,2431.0625,1388.578125,1370.0625
229.0,8.537737635702333,0.9643263073410638,4921.013100436681,1392.764192139738,1381.9650655021833
228.0,8.51907589177983,1.0026614721333842,1155.0,1154.9912280701753,1388.561403508772
67.0,4.61809077155419,1.0201786698650586,847.0298507462686,1370.7014925373135,1396.1940298507463
153.0,6.978639737521917,1.029599612653321,744.9411764705883,1352.1307189542483,1410.9084967320262
270.0,9.27058084855655,0.9709839679958466,822.8407407407408,1275.762962962963,1421.9555555555555
206.0,8.097643889049511,0.9558181953890041,777.8737864077669,1303.2621359223301,1435.495145631068
208.0,8.136857890256438,0.8870031766070385,1058.4134615384614,1453.9567307692307,1439.7163461538462
145.0,6.793742230659745,0.8660027949654717,1475.496551724138,1449.9310344827586,1461.6620689655172
258.0,9.062226582657155,0.9657299846443261,1842.4573643410852,1440.5038759689924,1469.9573643410854
274.0,9.338999347593866,0.9853689156698592,843.9452554744526,1268.014598540146,1509.0985401459855
398.0,11.255546841497692,0.9729107011889052,1618.288944723618,1485.610552763819,1536.354271356784
15.0,2.1850968611841584,1.446802115179039,430.26666666666665,1549.6,2031.4
30.0,3.0901936161855166,1.1032628324143605,637.4666666666667,1518.2,2043.0666666666666
40.0,3.5682482323055424,0.9941987258216345,521.075,1555.0,2045.875
68.0,4.652426491681278,1.0789583326647458,421.27941176470586,1535.9558823529412,2054.5588235294117
27.0,2.9316150714175193,1.248478017202216,853.074074074074,1510.8148148148148,2060.814814814815
19.0,2.4592453796829674,1.3974662543915228,523.6842105263158,1522.157894736842,2061.157894736842
26.0,2.876813695875796,1.1537086777593573,486.61538461538464,1538.7307692307693,2061.2307692307695
31.0,3.141274657157109,1.0710790804616994,434.64516129032256,1526.2903225806451,2088.7741935483873
34.0,3.2897623212397704,1.1747318946999283,587.9117647058823,1524.8529411764705,2098.470588235294
