area,radius,circularity,intensity_mean,x,y
100.0,5.641895835477563,0.9805467826824816,917.56,2086.56,771.28
16.0,2.256758334191025,1.3414659073803088,1117.9375,2051.1875,788.8125
58.0,4.296739856991561,1.020252024276075,897.0172413793103,2198.293103448276,801.2931034482758
102.0,5.698035485213008,1.048105002095688,985.6470588235294,2185.4411764705883,804.5392156862745
28.0,2.985410660720923,1.2073870691739297,459.9642857142857,2011.8214285714287,809.3928571428571
109.0,5.890312181373172,0.8753947908667525,932.9174311926605,2028.467889908257,812.6146788990826
20.0,2.5231325220201604,1.347530211131618,791.75,2036.05,817.1
59.0,4.3336224206596095,1.1052977491067864,992.5762711864406,2016.135593220339,823.7796610169491
31.0,3.141274657157109,1.2158780105262772,555.8387096774194,1982.9032258064517,826.5483870967741
62.0,4.442433223290478,0.9837561268413856,871.0645161290323,2008.6451612903227,833.983870967742
63.0,4.478115991081385,1.10820478498953,1221.7301587301588,2034.063492063492,836.3015873015873
17.0,2.326213245840639,1.4253075265915784,451.5882352941176,1976.1176470588234,834.4117647058823
36.0,3.385137501286538,1.2438337708587477,463.02777777777777,1966.861111111111,837.3888888888889
28.0,2.985410660720923,1.2073870691739297,575.3214285714286,2106.3928571428573,841.8214285714286
30.0,3.0901936161855166,1.293629002686353,615.6666666666666,2125.633333333333,841.6333333333333
113.0,5.997417539138688,1.0726274055312732,1264.58407079646,2075.6548672566373,848.6902654867257
114.0,6.023896332520351,1.0480996907936426,1347.0438596491229,2090.9561403508774,851.8859649122807
48.0,3.9088200952233594,1.1097582375130812,647.9166666666666,2128.4166666666665,850.8541666666666
19.0,2.4592453796829674,1.2801537005750372,545.3684210526316,1981.7894736842106,851.3684210526316
20.0,2.5231325220201604,1.347530211131618,690.8,2103.95,853.1
126.0,6.333012368467128,0.8479055633615586,1508.484126984127,2039.6507936507937,856.3253968253969
19.0,2.4592453796829674,1.2801537005750372,865.8947368421053,2053.0,856.7894736842105
93.0,5.440847306724618,1.0025624770819237,1147.967741935484,2025.0967741935483,861.3655913978495
106.0,5.808687281605183,1.089207159040617,2558.0943396226417,2003.3962264150944,863.0
