area,radius,circularity,intensity_mean,x,y
4837.0,39.238564187174276,0.7837168435498305,1102.9032458135207,700.337399214389,1153.1440975811454
3130.0,31.564377766008075,0.7928244163583436,1065.0527156549522,612.5578274760383,1165.6172523961661
7255.0,48.05557433080372,0.5105057976975302,929.8325292901447,640.2183321847002,1230.3885596140592
329.0,10.233472165128859,0.9578445989546185,2875.644376899696,454.5531914893617,1297.4133738601824
74.0,4.853342309955121,1.0235134274794266,2730.7837837837837,389.94594594594594,1416.1486486486488
206.0,8.097643889049511,0.9469672644889925,4790.305825242718,344.0631067961165,1424.4126213592233
81.0,5.077706251929807,1.0221658721171678,2450.320987654321,362.7901234567901,1423.716049382716
28.0,2.985410660720923,1.1508603944580102,2862.035714285714,391.8571428571429,1432.642857142857
125.0,6.3078313050504,0.963129119539889,3463.136,338.784,1443.384
55.0,4.1841419359420025,0.9674803678480026,3014.7454545454543,381.92727272727274,1444.3272727272729
103.0,5.725898905580716,1.0237944326136053,3688.1941747572814,351.3883495145631,1451.3009708737864
195.0,7.878478774854901,0.9785467316005694,11180.210256410257,408.36410256410255,1459.2
102.0,5.698035485213008,0.9682123483556626,1554.3529411764705,304.55882352941177,1461.5098039215686
227.0,8.500373177909337,0.9767396834269145,4899.3964757709255,343.63436123348015,1463.511013215859
81.0,5.077706251929807,0.9852476878946993,7118.20987654321,385.2716049382716,1459.9135802469136
77.0,4.950743503369154,1.1260535900603117,4065.3376623376626,423.05194805194805,1461.5324675324675
116.0,6.076507779746499,0.9769594030704232,3004.844827586207,322.91379310344826,1464.7327586206898
154.0,7.001408606295148,1.008793779750077,15021.194805194806,396.6948051948052,1472.4285714285716
50.0,3.989422804014327,1.1559981640761263,8888.78,410.98,1475.92
43.0,3.6996385101659595,1.0151797079276974,3065.8372093023254,366.8837209302326,1479.6046511627906
205.0,8.07796550300118,0.9216035873409161,2009.790243902439,287.45365853658535,1487.151219512195
143.0,6.746726148605861,1.0002904224098454,8311.321678321678,378.8881118881119,1485.8881118881118
118.0,6.128667601500942,0.9886520701405851,10590.0,389.93220338983053,1487.3050847457625
365.0,10.778826859036359,0.9311708872848571,4658.191780821918,327.96438356164384,1502.531506849315
269.0,9.25339718068125,0.9484960506105116,2191.7583643122675,272.4275092936803,1511.7397769516729
159.0,7.1141599576634995,1.0142357565440343,10590.163522012579,396.5974842767296,1515.2704402515724
58.0,4.296739856991561,1.1374342679116785,8078.9655172413795,403.2413793103448,1529.4655172413793
99.0,5.613615477764332,0.7263799271644006,2312.070707070707,310.95959595959596,1533.8686868686868
63.0,4.478115991081385,1.10820478498953,8816.730158730159,392.1904761904762,1543.2380952380952
104.0,5.753627391751592,1.068656080568152,15111.64423076923,405.0,1544.3942307692307
71.0,4.753945931439391,1.0383091544711966,7956.521126760564,390.91549295774644,1551.6619718309857
71.0,4.753945931439391,1.0383091544711964,2655.9859154929577,432.83098591549293,1552.3661971830986
44.0,3.742410318509555,1.0355960453596127,6664.704545454545,393.8636363636364,1558.818181818182
78.0,4.982787485166879,0.984307876853569,6039.205128205128,422.97435897435895,1567.0384615384614
