area,radius,circularity,intensity_mean,x,y
115.0,6.050259243299904,1.0114567482047296,1568.2434782608696,1364.0869565217392,1290.0695652173913
76.0,4.918490759365935,1.0114794671210168,1656.8552631578948,1363.5131578947369,1301.578947368421
77.0,4.950743503369154,0.9716885450990359,1438.3636363636363,1354.3116883116884,1305.2077922077922
60.0,4.370193722368317,1.0554331285614569,1244.9833333333333,1369.25,1315.4666666666667
61.0,4.406461512053774,1.0274917859878587,903.4590163934427,1379.950819672131,1317.590163934426
128.0,6.383076486422923,0.9862442184088459,2242.28125,1356.34375,1352.1328125
92.0,5.4115163798060095,0.9818889583843836,1757.5760869565217,1365.858695652174,1354.3695652173913
82.0,5.108953969950291,1.0347852038717005,1098.1951219512196,1364.6463414634147,1379.7560975609756
146.0,6.817128675830715,1.0212755361666952,4443.315068493151,1360.013698630137,1403.2397260273974
86.0,5.232078956954491,1.0089541958843917,1699.7209302325582,1355.9883720930231,1423.6744186046512
64.0,4.51351666838205,1.0780241689052945,1113.84375,1364.75,1423.109375
324.0,10.155412503859614,0.9603366138181075,2088.145061728395,1247.5493827160494,1432.7469135802469
147.0,6.840435166640879,1.0282705740856448,1860.1020408163265,1355.2176870748299,1439.1632653061224
44.0,3.742410318509555,1.0936185984037976,631.3181818181819,1352.090909090909,1455.7045454545455
157.0,7.069275219628611,0.9906175427308354,4050.917197452229,1304.687898089172,1460.2038216560509
98.0,5.585191925620057,1.0564636855271885,813.6734693877551,1337.6122448979593,1464.0102040816328
82.0,5.108953969950291,1.0190536939671748,2560.1951219512193,1313.5365853658536,1466.6829268292681
305.0,9.853147481188747,1.0068405676407481,1460.3049180327869,1240.9344262295083,1476.9803278688523
31.0,3.141274657157109,1.0710790804616994,1123.3225806451612,1263.967741935484,1471.0645161290322
175.0,7.463526651802308,1.0114983935666104,1150.1314285714286,1215.0914285714287,1480.0
124.0,6.282549314314218,0.8344467448955019,1859.774193548387,1335.0,1490.5725806451615
175.0,7.463526651802308,1.0114983935666104,922.3657142857143,1244.1371428571429,1499.9085714285716
134.0,6.530966601401967,1.0031613793979826,1029.7761194029852,1346.410447761194,1500.5373134328358
24.0,2.763953195770684,1.230303014972666,1492.2083333333333,1326.9583333333333,1499.125
141.0,6.699380116989518,1.0431727432622961,1211.8936170212767,1358.290780141844,1513.9716312056737
74.0,4.853342309955121,1.0644861278769282,1068.054054054054,1321.8648648648648,1515.2567567567567
55.0,4.1841419359420025,1.0786014609507297,1004.4545454545455,1311.490909090909,1525.581818181818
89.0,5.322553886092406,0.9932314452580517,928.6629213483146,1307.426966292135,1534.1348314606741
126.0,6.333012368467128,0.999623161145279,969.8888888888889,1224.7777777777778,1585.7063492063492
211.0,8.19532708223289,1.0109471095067426,1651.9431279620853,852.388625592417,1676.2180094786731
360.0,10.704744696916627,0.9339402619606261,1164.0416666666667,808.5361111111112,1708.7222222222222
367.0,10.808317548511017,0.9427807249243075,1453.474114441417,734.7111716621254,1713.4059945504086
450.0,11.968268412042981,0.9743107648081145,1596.5133333333333,778.6066666666667,1716.2533333333333
181.0,7.590394548326596,0.9658798992802904,1388.0994475138123,754.1049723756906,1725.2596685082872
206.0,8.097643889049511,0.9558181953890041,1332.0194174757282,743.3349514563107,1734.126213592233
221.0,8.387281135541944,0.9509227754949258,977.3665158371041,736.2352941176471,1749.5294117647059
149.0,6.886811529393324,1.0140375792542058,711.6107382550335,690.7986577181208,1769.3355704697988
