area,radius,circularity,intensity_mean,x,y
60.0,4.370193722368317,1.10326283241436,1514.9833333333333,1798.3666666666668,2633.05
75.0,4.886025119029199,1.0788710755509408,1827.68,1840.0,2640.32
69.0,4.686510657907603,1.1622448071010205,3121.942028985507,1827.0,2649.0
16.0,2.256758334191025,1.3414659073803088,4066.1875,1806.5625,2664.25
184.0,7.653039857325812,0.9681485151413707,988.9347826086956,2347.407608695652,2670.9945652173915
60.0,4.370193722368317,1.0748600762636094,3072.516666666667,1837.2333333333333,2683.5833333333335
109.0,5.890312181373172,1.0485973104029644,725.5412844036697,2331.7247706422017,2688.4495412844035
45.0,3.7846987830302403,1.0403983476685137,4155.533333333334,1828.7333333333333,2687.7333333333336
75.0,4.886025119029199,1.0788710755509408,2822.92,1752.6666666666667,2697.76
103.0,5.725898905580716,1.009963186162956,2819.029126213592,2100.980582524272,2698.106796116505
