area,radius,circularity,intensity_mean,x,y
23146.0,85.83472855208444,0.7593087765763407,438.1747602177482,1551.6169964572714,2876.9897606497884
90.0,5.352372348458314,1.040398347668514,852.7,1984.5666666666666,2845.2555555555555
91.0,5.382025607773058,1.0519583293092747,732.7142857142857,2043.6593406593406,2852.879120879121
78.0,4.982787485166879,1.0380973478347282,1744.7179487179487,2021.6923076923076,2870.5128205128203
97.0,5.556622981616415,0.9967273059145263,1907.0618556701031,1979.3917525773195,2884.773195876289
30.0,3.0901936161855166,1.1032628324143605,1938.4333333333334,2001.9666666666667,2885.4666666666667
118.0,6.128667601500942,1.051296296948965,1607.1101694915253,2038.449152542373,2892.5677966101694
53.0,4.1073621666150775,1.0393795896434304,1633.377358490566,2003.0754716981132,2897.490566037736
102.0,5.698035485213008,1.0841206804060655,1365.921568627451,1962.8333333333333,2902.6176470588234
133.0,6.506551687525748,1.0247693831904419,2553.593984962406,1985.2255639097743,2903.2030075187968
130.0,6.432750982580687,1.0137999571234395,2030.8461538461538,2021.6076923076923,2910.376923076923
137.0,6.6036697681803656,1.0555895150157184,1761.4160583941605,2044.1678832116788,2910.92700729927
129.0,6.407961869245868,0.8779251525086745,3025.984496124031,1933.062015503876,2919.3953488372094
160.0,7.136496464611085,0.9835564468270767,3580.4625,2008.0,2919.775
76.0,4.918490759365935,1.111429517462126,2105.7368421052633,1981.157894736842,2919.421052631579
23.0,2.7057581899030048,1.314460457011912,1623.2173913043478,1955.0,2920.826086956522
72.0,4.787307364817192,1.0529332270693823,2736.7083333333335,1968.0277777777778,2923.5
125.0,6.3078313050504,1.03429999510234,977.032,2065.456,2927.304
86.0,5.232078956954491,1.0460654464067178,1594.5697674418604,2040.1627906976744,2927.093023255814
47.0,3.8678889139475245,1.0866382742315588,3552.7872340425533,2014.787234042553,2929.4893617021276
56.0,4.222008245644752,1.077457786836074,3638.214285714286,1956.1607142857142,2930.25
84.0,5.170882945826411,1.0217383430019105,2764.4880952380954,1995.5833333333333,2932.3333333333335
135.0,6.555290583552474,0.9443301190582458,3387.511111111111,2024.3185185185184,2933.5407407407406
115.0,6.050259243299904,0.9398164868714921,1401.4434782608696,1847.3652173913042,2934.2521739130434
80.0,5.046265044040321,1.0647152285484387,5181.9875,1982.9625,2938.85
27.0,2.9316150714175193,1.0882958272169045,3077.1481481481483,1967.0,2938.4074074074074
84.0,5.170882945826411,1.117950989975861,1232.7380952380952,2054.654761904762,2940.4285714285716
70.0,4.720348719413148,1.1300956972299248,1275.3857142857144,1944.8428571428572,2942.8714285714286
26.0,2.876813695875796,1.1211451356615063,2955.8076923076924,1991.9615384615386,2949.269230769231
109.0,5.890312181373172,1.0154151660031507,3487.706422018349,2004.5504587155963,2950.862385321101
71.0,4.753945931439391,1.0383091544711964,2173.154929577465,1969.8169014084508,2955.6619718309857
101.0,5.670035141386943,0.9716360399146736,4315.069306930693,1997.930693069307,2960.5247524752476
85.0,5.201570947860099,1.0339018947043142,3445.3058823529414,1986.6352941176472,2967.2
59.0,4.3336224206596095,1.0848751185407877,2243.4576271186443,1975.6440677966102,2969.593220338983
76.0,4.918490759365935,1.051175952546438,6504.539473684211,1862.342105263158,3005.6052631578946
18.0,2.393653682408596,1.2127771900184563,2189.222222222222,1812.5,3005.5
68.0,4.652426491681278,1.0531197300295014,1926.1911764705883,1653.4411764705883,3008.8676470588234
57.0,4.259537945889915,1.1178233322580289,3772.0,1831.140350877193,3011.7368421052633
73.0,4.820437914901168,1.1115379537335714,6588.013698630137,1848.150684931507,3012.3287671232874
36.0,3.385137501286538,1.1708043566345168,1951.138888888889,1777.5,3011.8333333333335
45.0,3.7846987830302403,1.179109612694895,3688.822222222222,1792.2888888888888,3012.133333333333
48.0,3.9088200952233594,1.193038470985961,4010.7708333333335,1817.0,3012.5
30.0,3.0901936161855166,1.1328064426066646,1977.5666666666666,1720.1,3016.5333333333333
121.0,6.206085419025319,1.0319940804754968,12751.570247933885,1870.776859504132,3020.2644628099174
118.0,6.128667601500942,0.976379195376609,2795.008474576271,1707.7796610169491,3024.9745762711864
42.0,3.656366395715726,1.1618260528144841,1365.9761904761904,1681.0,3023.5
94.0,5.4700209598571305,1.0490309646545715,6379.776595744681,1885.127659574468,3024.6170212765956
88.0,5.292567428401227,1.0544129542556586,15295.920454545454,1804.306818181818,3025.7954545454545
176.0,7.48482063701911,0.9820715413787476,5024.522727272727,1734.971590909091,3035.6136363636365
75.0,4.886025119029199,0.94644988158997,8816.293333333333,1844.8666666666668,3032.6
55.0,4.1841419359420025,1.0786014609507297,7825.327272727272,1828.4545454545455,3033.181818181818
140.0,6.6755811781245455,1.0480790531023698,15233.835714285715,1864.9,3035.0285714285715
122.0,6.231677632421503,1.040522957173641,2106.9836065573772,1669.7540983606557,3036.5
39.0,3.523362819972964,1.2376286757036785,7272.589743589743,1802.871794871795,3033.871794871795
46.0,3.826519928662906,1.0635183109500361,7777.695652173913,1813.8478260869565,3036.086956521739
41.0,3.6125759969217834,1.1604344978565644,3475.3658536585367,1796.1463414634145,3039.121951219512
35.0,3.3377905890622728,1.2092828327793383,3611.4,1750.7714285714287,3041.4285714285716
114.0,6.023896332520351,1.0156591343405255,4037.7017543859647,1762.780701754386,3045.2280701754385
130.0,6.432750982580687,1.0016542843214848,16706.546153846153,1842.1153846153848,3048.153846153846
